Name,min_cpu,max_cpu,avg_cpu,min_mem_usage,max_mem_usage,avg_mem_usage,min_mem_percent,max_mem_percent,avg_mem_percent
broker,2.29,46.11,3.78175572519084,775000000.0,1132000000.0,906345038.167939,10.0,14.96,11.750076335877862
coordinator,0.73,23.89,1.7589312977099238,507000000.0,654300000.0,545544274.8091604,6.54,8.44,7.037709923664122
historical,0.38,3.53,0.5165648854961832,711600000.0,1244000000.0,875012213.740458,9.18,16.43,11.321679389312978
middlemanager,0.47,397.99,131.2819847328244,310300000.0,2908000000.0,2806502290.076336,4.0,38.42,37.068625954198474
postgres,0.0,4.12,0.07587786259541984,35590000.0,45300000.0,40203053.4351145,0.46,0.58,0.51793893129771
router,0.35,9.73,0.7223664122137404,278500000.0,388800000.0,310322900.7633588,3.59,5.01,4.002748091603054
zookeeper,0.14,3.58,0.34954198473282444,106500000.0,121300000.0,112443511.45038168,1.37,1.57,1.4509160305343511
